"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000094686",85.1818331496813,2.67106802839288,0.385872096209203,6.92215906419092,4.44811370409664e-12,5.36442512714054e-08
"ENSMUSG00000053897",326.029994407979,-1.64271845932337,0.254265419582119,-6.46064440073349,1.04258052307149e-10,6.28676055412108e-07
"ENSMUSG00000031765",1141.68995554948,-2.10619206446431,0.388487436546344,-5.42151911832302,5.90946754555601e-08,0.000237560595331351
"ENSMUSG00000006014",100.44672811713,-1.61023507686236,0.331500824640564,-4.85740896303436,1.18931788505882e-06,0.00241442387405307
"ENSMUSG00000055320",654.22159320318,-1.71264023529127,0.354389105260375,-4.83265486966077,1.34724232059056e-06,0.00241442387405307
"ENSMUSG00000135102",300.189223065165,-1.48162011194181,0.303606302322305,-4.88007034310156,1.06048008901694e-06,0.00241442387405307
"ENSMUSG00000061740",347.689130546067,-1.11976256199774,0.232084547900201,-4.8248044608263,1.40140689207061e-06,0.00241442387405307
"ENSMUSG00000140700",277.230539259784,-1.65481769095236,0.355821565666696,-4.65069532211112,3.30817759363468e-06,0.00443295797547047
"ENSMUSG00000031762",119.571327046674,-3.0663471157237,0.659288598733115,-4.65099369474305,3.30339429772313e-06,0.00443295797547047
"ENSMUSG00000019577",1614.59143421045,-2.07836505303307,0.450377150811643,-4.61472134917938,3.9362306705623e-06,0.00474709418869813
"ENSMUSG00000023067",351.456614383136,-1.530188548754,0.333037007116538,-4.59465019218884,4.33475820058382e-06,0.00475247126354917
"ENSMUSG00000028447",213.068450234648,-1.09245176928342,0.25421270504226,-4.29739248910401,1.72819034477923e-05,0.017012445924755
"ENSMUSG00000039062",146.266379306478,1.01219084184606,0.23626045214403,4.2842161379976,1.83384574644955e-05,0.017012445924755
"ENSMUSG00000140545",130.813935635865,-1.6934286371988,0.414711467678108,-4.08338994501403,4.43834536752081e-05,0.0309960629765511
"ENSMUSG00000035093",280.130572344074,-0.962851486722594,0.234853065795269,-4.09980377927853,4.13500578930833e-05,0.0309960629765511
"ENSMUSG00000026796",523.3530827363,-1.15586216538851,0.284318479612507,-4.06537825808515,4.79546216754602e-05,0.0309960629765511
"ENSMUSG00000052974",106.279305292882,1.28379952361811,0.316117741608785,4.06114353811527,4.88329350376842e-05,0.0309960629765511
"ENSMUSG00000111658",17.7674959305131,-2.55596692519121,0.621419399941206,-4.11311092867882,3.90362689757449e-05,0.0309960629765511
"ENSMUSG00000020647",156.59352059761,-1.15420055646293,0.282165690807496,-4.09050637290403,4.30432382934989e-05,0.0309960629765511
"ENSMUSG00000030353",46.3696512278397,-1.77285058896081,0.444632738433233,-3.98722459171104,6.6850736319211e-05,0.038391422857604
"ENSMUSG00000057561",211.40685780689,-0.980807399709812,0.245661160222117,-3.99252123869725,6.53744755223455e-05,0.038391422857604
"ENSMUSG00000053641",81.860169028225,-1.12491364124138,0.285143957460733,-3.94507269681943,7.97757724852655e-05,0.0437316280078319
"ENSMUSG00000033107",817.404273792124,-1.69899994960327,0.432458478447809,-3.92870075226959,8.5406037317425e-05,0.0447824700020933
"ENSMUSG00000026621",140.383810667341,-1.87567618327152,0.480691584104377,-3.90203665988093,9.53867065185106e-05,0.0452618268061743
"ENSMUSG00000038388",110.724414735025,-0.995667212819789,0.256128151681305,-3.88737905725677,0.000101332448073525,0.0452618268061743
"ENSMUSG00000069601",31.2553004266069,2.91420620992522,0.744636301149112,3.91359675243882,9.09314414719489e-05,0.0452618268061743
"ENSMUSG00000042622",54.7146180510801,-1.27013756266742,0.326427076005101,-3.89103005244446,9.98195674641834e-05,0.0452618268061743
"ENSMUSG00000103047",14.3113310105202,-2.60342416356623,0.67973424831454,-3.83006177785163,0.00012811109199533,0.0551792774808459
"ENSMUSG00000033933",130.295934678035,-0.992195708171996,0.259921218739891,-3.81729399770517,0.00013492335905096,0.0561095072467095
"ENSMUSG00000074582",213.828730738643,-0.867781004215594,0.230903317907243,-3.75820067065556,0.00017113960860153,0.0593538354436742
"ENSMUSG00000139315",493.4519820872,-2.70219630321726,0.71710358696075,-3.76820915743817,0.000164422910647959,0.0593538354436742
"ENSMUSG00000015357",437.603258143721,-1.19540808290406,0.318217475794599,-3.7565758446141,0.00017225408296257,0.0593538354436742
"ENSMUSG00000058207",224.133573154884,-2.33571269393577,0.619293208880001,-3.77157808360265,0.000162218378590868,0.0593538354436742
"ENSMUSG00000121069",448.442548637512,-1.69194543011334,0.447776877868688,-3.77854577522314,0.000157746858446431,0.0593538354436742
"ENSMUSG00000025213",20.8472721278874,2.8892962651249,0.763901643958853,3.78228831941161,0.000155393223774914,0.0593538354436742
"ENSMUSG00000028341",133.140824391246,-2.76745329944292,0.741009445218775,-3.73470718531241,0.00018793372047736,0.0621799778368396
"ENSMUSG00000030782",152.974131626641,0.909035712436535,0.244060417767236,3.72463392774939,0.000195598850122993,0.0621799778368396
"ENSMUSG00000130235",167.272482719864,-1.1672475940426,0.313421080446192,-3.72421533478504,0.000195923644925365,0.0621799778368396
"ENSMUSG00000020108",627.790412448934,-1.15637826284089,0.31131947626221,-3.71444240085681,0.000203652247791454,0.0629755412401266
"ENSMUSG00000046186",26.4003805854523,-1.62170800004694,0.440627682091599,-3.68044965388675,0.000232823026956723,0.0701961426274521
"ENSMUSG00000120918",10.5273214390252,-2.50910988571352,0.68436192530225,-3.66634932912927,0.000246037773143142,0.0723711108318608
"ENSMUSG00000040170",275.920135841572,-0.892615463875966,0.244242355700098,-3.65463009606735,0.000257553040544017,0.0725819102076849
"ENSMUSG00000135122",1275.2835424163,-1.5131842160118,0.414185271301523,-3.65339938635871,0.000258791222133537,0.0725819102076849
"ENSMUSG00000037624",31.4022032170501,1.59909640829311,0.439862923909661,3.63544259215975,0.000277503788646709,0.076061265706348
"ENSMUSG00000006423",372.897337288749,-1.13431681083807,0.315430548691058,-3.59609053576183,0.000323035412046743,0.0865734904285272
"ENSMUSG00000018900",195.335187588283,-1.0119538131109,0.282824465006338,-3.57802785232254,0.000346196567265947,0.0907637087223331
"ENSMUSG00000024030",381.354905243015,-1.20070260318593,0.336590336036934,-3.56725215977138,0.000360744304159389,0.0925654533651538
"ENSMUSG00000028211",474.563561013521,-1.74131929149201,0.490895006832916,-3.54723365944663,0.000389299154482552,0.0945943448840886
"ENSMUSG00000049939",8.8866713153457,2.75326797861799,0.777744650106929,3.54006675357967,0.000400025836574504,0.0945943448840886
"ENSMUSG00000045441",219.684752348176,-1.90502168075495,0.536938421582722,-3.54793325301543,0.00038826660161853,0.0945943448840886
"ENSMUSG00000037852",513.605192861933,2.508264262221,0.707653084065134,3.54448290935468,0.000393384007406475,0.0945943448840886
"ENSMUSG00000047414",96.2244095870028,-1.12828200604101,0.319491112940514,-3.53149731038398,0.000413214064256915,0.0958338772103538
"ENSMUSG00000025170",55.9815810755319,-1.49858463950236,0.426577877038576,-3.51303881463791,0.000443012754329821,0.100806298438069
"ENSMUSG00000027313",62.1387356528434,-1.32259233672352,0.377547108332955,-3.50311870368541,0.000459844489497474,0.101170920855746
"ENSMUSG00000042109",29.4274081761858,2.3152642170965,0.661084159470433,3.5022231041675,0.000461393088479772,0.101170920855746
"ENSMUSG00000000031",10.8105195235548,3.3806647924057,0.971562786709309,3.47961535646712,0.000502134141974551,0.108138174146662
"ENSMUSG00000020388",92.2363224862186,1.41862617831103,0.409144790370039,3.46729620344915,0.000525722223681861,0.111231754694794
"ENSMUSG00000022199",79.701482911036,1.09477313222323,0.321341964737386,3.40687881558803,0.000657102950714772,0.134316298061359
"ENSMUSG00000024736",28.5613784742215,2.10138710955711,0.616685015775721,3.40755337944088,0.000655480862372828,0.134316298061359
"ENSMUSG00000028207",489.920542638929,-0.93221307896194,0.274459679776159,-3.39653926479192,0.000682437656957754,0.137009712676712
"ENSMUSG00000020766",45.5512024849662,1.29843825715101,0.383188408102522,3.38851131635384,0.000702731290767025,0.137009712676712
"ENSMUSG00000023885",1143.68002409489,-1.75166922305918,0.517040577841818,-3.38787572606164,0.000704361706961539,0.137009712676712
"ENSMUSG00000049550",256.718781154638,-0.716641670148812,0.212956508912604,-3.3652020020807,0.000764876392859642,0.14641919520456
"ENSMUSG00000020130",200.112823905514,-0.925489061608398,0.275940553641171,-3.35394362806088,0.000796685915904955,0.15012550227834
"ENSMUSG00000023092",513.318267709969,-0.787375635372452,0.23598653767128,-3.33652776612722,0.000848319544217012,0.155011116716018
"ENSMUSG00000045094",100.505465686501,-1.40286241299616,0.420182776160851,-3.33869566433423,0.000841727272169544,0.155011116716018
"ENSMUSG00000032572",33.9309395247727,2.88681255585023,0.872382935364742,3.30911167427095,0.000935924980590371,0.168466496506267
"ENSMUSG00000086320",23.940065664647,-2.63849286942501,0.798446722848054,-3.30453215464837,0.000951350621633831,0.168724830836824
"ENSMUSG00000033965",87.371702788868,1.76281234609152,0.535499226141797,3.29190456313515,0.000995113748349422,0.170999277642108
"ENSMUSG00000014846",115.424796232741,1.0178275520896,0.309497624172846,3.28864415295535,0.00100671216522302,0.170999277642108
"ENSMUSG00000096942",34.6823600870379,1.22235246814254,0.371572942107307,3.28967028979612,0.00100304841287262,0.170999277642108
"ENSMUSG00000028277",210.575159383133,-0.887756949224042,0.271002833469207,-3.27582165049545,0.00105355069258866,0.176469741008601
"ENSMUSG00000109946",12.056058025067,2.09688545168506,0.643324680855885,3.25945127566899,0.00111627952843648,0.180340042699348
"ENSMUSG00000074800",54.4495910006555,-2.23600321802341,0.686285689576753,-3.25812304115273,0.00112151767847853,0.180340042699348
"ENSMUSG00000127570",13.9521702811544,-1.94796686989197,0.597423122543399,-3.26061512584067,0.00111170826396037,0.180340042699348
"ENSMUSG00000031298",341.647065768857,-1.24730395438334,0.384213313000642,-3.24638400643148,0.0011688106652967,0.184178301291089
"ENSMUSG00000059824",32.0142416652429,2.00860016517137,0.619048968981753,3.24465472977887,0.00117593111106251,0.184178301291089
"ENSMUSG00000026077",58.4926821118346,-1.43511486589335,0.443700029776346,-3.23442589493794,0.00121887546905062,0.185843761374087
"ENSMUSG00000047945",99.9828927390131,2.23311536198731,0.691114089958034,3.23118193426342,0.0012327944369757,0.185843761374087
"ENSMUSG00000018927",287.540914707092,-0.727238263611762,0.224785562638604,-3.23525343476338,0.00121534802930851,0.185843761374087
"ENSMUSG00000038370",38.0401223809224,1.24766829762851,0.387745533200793,3.21775027897591,0.00129200251486222,0.190018906454126
"ENSMUSG00000032657",26.5987699636908,1.30760453948143,0.406061441900221,3.22021350602095,0.00128095156507116,0.190018906454126
"ENSMUSG00000022324",143.675734840274,0.931880094126645,0.290036267542656,3.21297781833298,0.00131366434725534,0.19087701238433
"ENSMUSG00000001334",27.6722804359299,2.26921275174204,0.709670497023455,3.19755824887707,0.00138596416870315,0.197846985198839
"ENSMUSG00000030161",936.415187988824,-0.908011705538745,0.284126695277905,-3.19579863712073,0.00139444392553079,0.197846985198839
"ENSMUSG00000026701",764.807806659631,-0.81551545613596,0.257106360503931,-3.17189918809298,0.00151445569519086,0.208588405029691
"ENSMUSG00000026393",269.197452366103,-0.837134177199174,0.263800498626524,-3.17336086003518,0.00150685108212908,0.208588405029691
"ENSMUSG00000026970",242.322727631339,-0.855836266764426,0.271047744123987,-3.15751112236866,0.00159122166357641,0.208588405029691
"ENSMUSG00000029238",190.832933139983,-0.754813433256199,0.238683276625498,-3.16240602998142,0.00156471226861119,0.208588405029691
"ENSMUSG00000079523",462.159032928555,0.7689482437961,0.24298556850609,3.16458400605313,0.00155304821956377,0.208588405029691
"ENSMUSG00000116946",13.2288228270989,-2.12467804109704,0.671076901520857,-3.16607237752022,0.00154512342794626,0.208588405029691
"ENSMUSG00000090264",52.2341789861363,-1.73133568991799,0.547964548789422,-3.1595760961962,0.001579988345311,0.208588405029691
"ENSMUSG00000027177",420.292450480417,-0.747099441522602,0.237255802696008,-3.14891957555132,0.00163875288098381,0.210248507921966
"ENSMUSG00000031400",752.568565695763,-1.17049866914625,0.371681084482578,-3.14920160862025,0.00163717206414451,0.210248507921966
"ENSMUSG00000044788",41.4171892076992,2.3858082738599,0.758909173118861,3.14373360919467,0.00166807213945174,0.211757368439874
"ENSMUSG00000055322",2717.61481545789,-1.25770464670722,0.401005576249572,-3.13637695133813,0.00171049197439,0.212877106203548
"ENSMUSG00000033361",109.68685887509,-1.37239248353818,0.437613290947697,-3.13608501370267,0.00171219563032704,0.212877106203548
"ENSMUSG00000033065",94.770012187293,0.900707086953447,0.28804994694867,3.12691287221085,0.0017665227080483,0.217390447541454
"ENSMUSG00000032038",135.376791479288,0.845999900727446,0.270813896870417,3.12391613024295,0.00178461317284897,0.217398331965238
"ENSMUSG00000041773",296.461269537237,-1.09497771107653,0.351441363600284,-3.11567682261191,0.00183523282667682,0.221329078897224
"ENSMUSG00000066705",74.5061904010569,1.3555689319866,0.437679759829577,3.09717070881785,0.00195377327045734,0.23329213506649
