"ENTREZID","SYMBOL","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","STRING_id"
"102442","Dennd4a","ENSMUSG00000053641",81.860169028225,-1.12491364124138,0.285143957460733,-3.94507269681943,7.97757724852655e-05,0.0437316280078319,"10090.ENSMUSP00000037915"
"13107","Cyp2f2","ENSMUSG00000052974",106.279305292882,1.28379952361811,0.316117741608785,4.06114353811527,4.88329350376842e-05,0.0309960629765511,"10090.ENSMUSP00000003100"
"17748","Mt1","ENSMUSG00000031765",1141.68995554948,-2.10619206446431,0.388487436546344,-5.42151911832302,5.90946754555601e-08,0.000237560595331351,"10090.ENSMUSP00000034215"
"17750","Mt2","ENSMUSG00000031762",119.571327046674,-3.0663471157237,0.659288598733115,-4.65099369474305,3.30339429772313e-06,0.00443295797547047,"10090.ENSMUSP00000034214"
"21679","Tead4","ENSMUSG00000030353",46.3696512278397,-1.77285058896081,0.444632738433233,-3.98722459171104,6.6850736319211e-05,0.038391422857604,"10090.ENSMUSP00000006311"
"227737","Niban2","ENSMUSG00000026796",523.3530827363,-1.15586216538851,0.284318479612507,-4.06537825808515,4.79546216754602e-05,0.0309960629765511,"10090.ENSMUSP00000028135"
"27273","Pdk4","ENSMUSG00000019577",1614.59143421045,-2.07836505303307,0.450377150811643,-4.61472134917938,3.9362306705623e-06,0.00474709418869813,"10090.ENSMUSP00000019721"
"53598","Dctn3","ENSMUSG00000028447",213.068450234648,-1.09245176928342,0.25421270504226,-4.29739248910401,1.72819034477923e-05,0.017012445924755,"10090.ENSMUSP00000030158"
"56448","Cyp2d22","ENSMUSG00000061740",347.689130546067,-1.11976256199774,0.232084547900201,-4.8248044608263,1.40140689207061e-06,0.00241442387405307,"10090.ENSMUSP00000023083"
"66112","Mtarc1","ENSMUSG00000026621",140.383810667341,-1.87567618327152,0.480691584104377,-3.90203665988093,9.53867065185106e-05,0.0452618268061743,"10090.ENSMUSP00000035804"
"11735","Ank3","ENSMUSG00000069601",31.2553004266069,2.91420620992522,0.744636301149112,3.91359675243882,9.09314414719489e-05,0.0452618268061743,"10090.ENSMUSP00000138326"
"12575","Cdkn1a","ENSMUSG00000023067",351.456614383136,-1.530188548754,0.333037007116538,-4.59465019218884,4.33475820058382e-06,0.00475247126354917,"10090.ENSMUSP00000156559"
"16790","Anpep","ENSMUSG00000039062",146.266379306478,1.01219084184606,0.23626045214403,4.2842161379976,1.83384574644955e-05,0.017012445924755,"10090.ENSMUSP00000103015"
"17133","Maff","ENSMUSG00000042622",54.7146180510801,-1.27013756266742,0.326427076005101,-3.89103005244446,9.98195674641834e-05,0.0452618268061743,"10090.ENSMUSP00000094076"
"17977","Ncoa1","ENSMUSG00000020647",156.59352059761,-1.15420055646293,0.282165690807496,-4.09050637290403,4.30432382934989e-05,0.0309960629765511,"10090.ENSMUSP00000082971"
"18829","Ccl21a","ENSMUSG00000094686",85.1818331496813,2.67106802839288,0.385872096209203,6.92215906419092,4.44811370409664e-12,5.36442512714054e-08,"10090.ENSMUSP00000092732"
"21676","Tead1","ENSMUSG00000055320",654.22159320318,-1.71264023529127,0.354389105260375,-4.83265486966077,1.34724232059056e-06,0.00241442387405307,"10090.ENSMUSP00000060671"
"67547","Slc39a8","ENSMUSG00000053897",326.029994407979,-1.64271845932337,0.254265419582119,-6.46064440073349,1.04258052307149e-10,6.28676055412108e-07,"10090.ENSMUSP00000128245"
"67664","Rnf125","ENSMUSG00000033107",817.404273792124,-1.69899994960327,0.432458478447809,-3.92870075226959,8.5406037317425e-05,0.0447824700020933,"10090.ENSMUSP00000058251"
"96875","Prg4","ENSMUSG00000006014",100.44672811713,-1.61023507686236,0.331500824640564,-4.85740896303436,1.18931788505882e-06,0.00241442387405307,"10090.ENSMUSP00000128943"
